code,title,Level,Hierarchical_structure,parent,soc2d,soc3d,soc5d,soc6d
11-0000,Management Occupations,2,Major,NA,11-0000,NA,NA,NA
11-1000,Top Executives,3,Minor,11-0000,11-0000,11-1000,NA,NA
11-1010,Chief Executives,5,Broad,11-1000,11-0000,11-1000,11-1010,NA
11-1011,Chief Executives,6,Detailed,11-1010,11-0000,11-1000,11-1010,11-1011
11-1020,General and Operations Managers,5,Broad,11-1000,11-0000,11-1000,11-1020,NA
11-1021,General and Operations Managers,6,Detailed,11-1020,11-0000,11-1000,11-1020,11-1021
11-1030,Legislators,5,Broad,11-1000,11-0000,11-1000,11-1030,NA
11-1031,Legislators,6,Detailed,11-1030,11-0000,11-1000,11-1030,11-1031
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",3,Minor,11-0000,11-0000,11-2000,NA,NA
11-2010,Advertising and Promotions Managers,5,Broad,11-2000,11-0000,11-2000,11-2010,NA
11-2011,Advertising and Promotions Managers,6,Detailed,11-2010,11-0000,11-2000,11-2010,11-2011
11-2020,Marketing and Sales Managers,5,Broad,11-2000,11-0000,11-2000,11-2020,NA
11-2021,Marketing Managers,6,Detailed,11-2020,11-0000,11-2000,11-2020,11-2021
11-2022,Sales Managers,6,Detailed,11-2020,11-0000,11-2000,11-2020,11-2022
11-2030,Public Relations and Fundraising Managers,5,Broad,11-2000,11-0000,11-2000,11-2030,NA
11-2032,Public Relations Managers,6,Detailed,11-2030,11-0000,11-2000,11-2030,11-2032
11-2033,Fundraising Managers,6,Detailed,11-2030,11-0000,11-2000,11-2030,11-2033
11-3000,Operations Specialties Managers,3,Minor,11-0000,11-0000,11-3000,NA,NA
11-3010,Administrative Services and Facilities Managers,5,Broad,11-3000,11-0000,11-3000,11-3010,NA
11-3012,Administrative Services Managers,6,Detailed,11-3010,11-0000,11-3000,11-3010,11-3012
11-3013,Facilities Managers,6,Detailed,11-3010,11-0000,11-3000,11-3010,11-3013
11-3020,Computer and Information Systems Managers,5,Broad,11-3000,11-0000,11-3000,11-3020,NA
11-3021,Computer and Information Systems Managers,6,Detailed,11-3020,11-0000,11-3000,11-3020,11-3021
11-3030,Financial Managers,5,Broad,11-3000,11-0000,11-3000,11-3030,NA
11-3031,Financial Managers,6,Detailed,11-3030,11-0000,11-3000,11-3030,11-3031
11-3050,Industrial Production Managers,5,Broad,11-3000,11-0000,11-3000,11-3050,NA
11-3051,Industrial Production Managers,6,Detailed,11-3050,11-0000,11-3000,11-3050,11-3051
11-3060,Purchasing Managers,5,Broad,11-3000,11-0000,11-3000,11-3060,NA
11-3061,Purchasing Managers,6,Detailed,11-3060,11-0000,11-3000,11-3060,11-3061
11-3070,"Transportation, Storage, and Distribution Managers",5,Broad,11-3000,11-0000,11-3000,11-3070,NA
11-3071,"Transportation, Storage, and Distribution Managers",6,Detailed,11-3070,11-0000,11-3000,11-3070,11-3071
11-3110,Compensation and Benefits Managers,5,Broad,11-3000,11-0000,11-3000,11-3110,NA
11-3111,Compensation and Benefits Managers,6,Detailed,11-3110,11-0000,11-3000,11-3110,11-3111
11-3120,Human Resources Managers,5,Broad,11-3000,11-0000,11-3000,11-3120,NA
11-3121,Human Resources Managers,6,Detailed,11-3120,11-0000,11-3000,11-3120,11-3121
11-3130,Training and Development Managers,5,Broad,11-3000,11-0000,11-3000,11-3130,NA
11-3131,Training and Development Managers,6,Detailed,11-3130,11-0000,11-3000,11-3130,11-3131
11-9000,Other Management Occupations,3,Minor,11-0000,11-0000,11-9000,NA,NA
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",5,Broad,11-9000,11-0000,11-9000,11-9010,NA
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6,Detailed,11-9010,11-0000,11-9000,11-9010,11-9013
11-9020,Construction Managers,5,Broad,11-9000,11-0000,11-9000,11-9020,NA
11-9021,Construction Managers,6,Detailed,11-9020,11-0000,11-9000,11-9020,11-9021
11-9030,Education and Childcare Administrators,5,Broad,11-9000,11-0000,11-9000,11-9030,NA
11-9031,"Education and Childcare Administrators, Preschool and Daycare",6,Detailed,11-9030,11-0000,11-9000,11-9030,11-9031
11-9032,"Education Administrators, Kindergarten through Secondary",6,Detailed,11-9030,11-0000,11-9000,11-9030,11-9032
11-9033,"Education Administrators, Postsecondary",6,Detailed,11-9030,11-0000,11-9000,11-9030,11-9033
11-9039,"Education Administrators, All Other",6,Detailed,11-9030,11-0000,11-9000,11-9030,11-9039
11-9040,Architectural and Engineering Managers,5,Broad,11-9000,11-0000,11-9000,11-9040,NA
11-9041,Architectural and Engineering Managers,6,Detailed,11-9040,11-0000,11-9000,11-9040,11-9041
11-9050,Food Service Managers,5,Broad,11-9000,11-0000,11-9000,11-9050,NA
11-9051,Food Service Managers,6,Detailed,11-9050,11-0000,11-9000,11-9050,11-9051
11-9070,Entertainment and Recreation Managers,5,Broad,11-9000,11-0000,11-9000,11-9070,NA
11-9071,Gambling Managers,6,Detailed,11-9070,11-0000,11-9000,11-9070,11-9071
11-9072,"Entertainment and Recreation Managers, Except Gambling",6,Detailed,11-9070,11-0000,11-9000,11-9070,11-9072
11-9080,Lodging Managers,5,Broad,11-9000,11-0000,11-9000,11-9080,NA
11-9081,Lodging Managers,6,Detailed,11-9080,11-0000,11-9000,11-9080,11-9081
11-9110,Medical and Health Services Managers,5,Broad,11-9000,11-0000,11-9000,11-9110,NA
11-9111,Medical and Health Services Managers,6,Detailed,11-9110,11-0000,11-9000,11-9110,11-9111
11-9120,Natural Sciences Managers,5,Broad,11-9000,11-0000,11-9000,11-9120,NA
11-9121,Natural Sciences Managers,6,Detailed,11-9120,11-0000,11-9000,11-9120,11-9121
11-9130,Postmasters and Mail Superintendents,5,Broad,11-9000,11-0000,11-9000,11-9130,NA
11-9131,Postmasters and Mail Superintendents,6,Detailed,11-9130,11-0000,11-9000,11-9130,11-9131
11-9140,"Property, Real Estate, and Community Association Managers",5,Broad,11-9000,11-0000,11-9000,11-9140,NA
11-9141,"Property, Real Estate, and Community Association Managers",6,Detailed,11-9140,11-0000,11-9000,11-9140,11-9141
11-9150,Social and Community Service Managers,5,Broad,11-9000,11-0000,11-9000,11-9150,NA
11-9151,Social and Community Service Managers,6,Detailed,11-9150,11-0000,11-9000,11-9150,11-9151
11-9160,Emergency Management Directors,5,Broad,11-9000,11-0000,11-9000,11-9160,NA
11-9161,Emergency Management Directors,6,Detailed,11-9160,11-0000,11-9000,11-9160,11-9161
11-9170,Personal Service Managers,5,Broad,11-9000,11-0000,11-9000,11-9170,NA
11-9171,Funeral Home Managers,6,Detailed,11-9170,11-0000,11-9000,11-9170,11-9171
11-9179,"Personal Service Managers, All Other",6,Detailed,11-9170,11-0000,11-9000,11-9170,11-9179
11-9190,Miscellaneous Managers,5,Broad,11-9000,11-0000,11-9000,11-9190,NA
11-9199,"Managers, All Other",6,Detailed,11-9190,11-0000,11-9000,11-9190,11-9199
13-0000,Business and Financial Operations Occupations,2,Major,NA,13-0000,NA,NA,NA
13-1000,Business Operations Specialists,3,Minor,13-0000,13-0000,13-1000,NA,NA
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",5,Broad,13-1000,13-0000,13-1000,13-1010,NA
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",6,Detailed,13-1010,13-0000,13-1000,13-1010,13-1011
13-1020,Buyers and Purchasing Agents,5,Broad,13-1000,13-0000,13-1000,13-1020,NA
13-1021,"Buyers and Purchasing Agents, Farm Products",6,Detailed,13-1020,13-0000,13-1000,13-1020,13-1021
13-1022,"Wholesale and Retail Buyers, Except Farm Products",6,Detailed,13-1020,13-0000,13-1000,13-1020,13-1022
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",6,Detailed,13-1020,13-0000,13-1000,13-1020,13-1023
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",5,Broad,13-1000,13-0000,13-1000,13-1030,NA
13-1031,"Claims Adjusters, Examiners, and Investigators",6,Detailed,13-1030,13-0000,13-1000,13-1030,13-1031
13-1032,"Insurance Appraisers, Auto Damage",6,Detailed,13-1030,13-0000,13-1000,13-1030,13-1032
13-1040,Compliance Officers,5,Broad,13-1000,13-0000,13-1000,13-1040,NA
13-1041,Compliance Officers,6,Detailed,13-1040,13-0000,13-1000,13-1040,13-1041
13-1050,Cost Estimators,5,Broad,13-1000,13-0000,13-1000,13-1050,NA
13-1051,Cost Estimators,6,Detailed,13-1050,13-0000,13-1000,13-1050,13-1051
13-1070,Human Resources Workers,5,Broad,13-1000,13-0000,13-1000,13-1070,NA
13-1071,Human Resources Specialists,6,Detailed,13-1070,13-0000,13-1000,13-1070,13-1071
13-1074,Farm Labor Contractors,6,Detailed,13-1070,13-0000,13-1000,13-1070,13-1074
13-1075,Labor Relations Specialists,6,Detailed,13-1070,13-0000,13-1000,13-1070,13-1075
13-1080,Logisticians and Project Management Specialists,5,Broad,13-1000,13-0000,13-1000,13-1080,NA
13-1081,Logisticians,6,Detailed,13-1080,13-0000,13-1000,13-1080,13-1081
13-1082,Project Management Specialists,6,Detailed,13-1080,13-0000,13-1000,13-1080,13-1082
13-1110,Management Analysts,5,Broad,13-1000,13-0000,13-1000,13-1110,NA
13-1111,Management Analysts,6,Detailed,13-1110,13-0000,13-1000,13-1110,13-1111
13-1120,"Meeting, Convention, and Event Planners",5,Broad,13-1000,13-0000,13-1000,13-1120,NA
13-1121,"Meeting, Convention, and Event Planners",6,Detailed,13-1120,13-0000,13-1000,13-1120,13-1121
13-1130,Fundraisers,5,Broad,13-1000,13-0000,13-1000,13-1130,NA
