census2010,title,soc2010,soc2010_title
3800,"Bailiffs, correctional officers, and jailers",33-3012,Correctional Officers and Jailers
3820,Detectives and criminal investigators,33-3021,Detectives and Criminal Investigators
3830,Fish and game wardens,33-3031,Fish and Game Wardens
3840,Parking enforcement workers,33-3041,Parking Enforcement Workers
3850,Police and sheriff's patrol officers,33-3051,Police and Sheriff's Patrol Officers
3860,Transit and railroad police,33-3052,Transit and Railroad Police
3900,Animal control workers,33-9011,Animal Control Workers
3910,Private detectives and investigators,33-9021,Private Detectives and Investigators
3930,Security guards and gaming surveillance officers,33-9031,Gaming Surveillance Officers and Gaming Investigators
3930,Security guards and gaming surveillance officers,33-9032,Security Guards
3940,Crossing guards,33-9091,Crossing Guards
3945,Transportation security screeners,33-9093,Transportation Security Screeners
3955,"Lifeguards and other recreational, and all other protective service workers",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
3955,"Lifeguards and other recreational, and all other protective service workers",33-9099,"Protective Service Workers, All Other"
4000,Chefs and head cooks,35-1011,Chefs and Head Cooks
4010,First-line supervisors of food preparation and serving workers,35-1012,First-Line Supervisors of Food Preparation and Serving Workers
4020,Cooks,35-2011,"Cooks, Fast Food"
4020,Cooks,35-2012,"Cooks, Institution and Cafeteria"
4020,Cooks,35-2013,"Cooks, Private Household"
4020,Cooks,35-2014,"Cooks, Restaurant"
4020,Cooks,35-2015,"Cooks, Short Order"
4020,Cooks,35-2019,"Cooks, All Other"
4030,Food preparation workers,35-2021,Food Preparation Workers
4040,Bartenders,35-3011,Bartenders
4050,"Combined food preparation and serving workers, including fast food",35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food"
4060,"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
4110,Waiters and waitresses,35-3031,Waiters and Waitresses
4120,"Food servers, nonrestaurant",35-3041,"Food Servers, Nonrestaurant"
4130,Dining room and cafeteria attendants and bartender helpers,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers
4140,Dishwashers,35-9021,Dishwashers
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
4160,"Food preparation and serving related workers, all other",35-9099,"Food Preparation and Serving Related Workers, All Other"
4200,First-line supervisors of housekeeping and janitorial workers,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
4220,Janitors and building cleaners,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
4220,Janitors and building cleaners,37-2019,"Building Cleaning Workers, All Other"
4230,Maids and housekeeping cleaners,37-2012,Maids and Housekeeping Cleaners
4240,Pest control workers,37-2021,Pest Control Workers
4250,Grounds maintenance workers,37-3011,Landscaping and Groundskeeping Workers
4250,Grounds maintenance workers,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
4250,Grounds maintenance workers,37-3013,Tree Trimmers and Pruners
4250,Grounds maintenance workers,37-3019,"Grounds Maintenance Workers, All Other"
4300,First-line supervisors of gaming workers,39-1011,Gaming Supervisors
4300,First-line supervisors of gaming workers,39-1012,Slot Supervisors
