soc1980,soc1980_title,soc2000,soc2000_title
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",17-3022,Civil Engineering Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",17-3029,"Engineering Technicians, Except Drafters, All Other"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",19-2042,"Geoscientists, Except Hydrologists and Geographers"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",19-4011,Agricultural and Food Science Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",19-4021,Biological Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",19-4051,Nuclear Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",19-4061,Social Science Research Assistants
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",25-4013,Museum Technicians and Conservators
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",25-9041,Teacher Assistants
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",27-1012,Craft Artists
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",27-3099,"Media and Communication Workers, All Other"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",27-4011,Audio and Video Equipment Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",27-4012,Broadcast Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",27-4014,Sound Engineering Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",33-3021,Detectives and Criminal Investigators
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",33-9099,"Protective Service Workers, All Other"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",39-4011,Embalmers
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",43-9061,"Office Clerks, General"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",51-5022,Prepress Technicians and Workers
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",51-9071,Jewelers and Precious Stone and Metal Workers
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",53-6041,Traffic Technicians
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED",55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
401,"SUPERVISORS; SALES OCCUPATIONS, INSURANCE, REAL ES",41-1011,First-Line Supervisors/Managers of Retail Sales Workers
401,"SUPERVISORS; SALES OCCUPATIONS, INSURANCE, REAL ES",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
402,"SUPERVISORS; SALES OCCUPATIONS, COMMODITIES EXCEPT",41-1011,First-Line Supervisors/Managers of Retail Sales Workers
402,"SUPERVISORS; SALES OCCUPATIONS, COMMODITIES EXCEPT",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
402,"SUPERVISORS; SALES OCCUPATIONS, COMMODITIES EXCEPT",53-1031,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators
403,"SUPERVISORS; SALES OCCUPATIONS, RETAIL",41-1011,First-Line Supervisors/Managers of Retail Sales Workers
403,"SUPERVISORS; SALES OCCUPATIONS, RETAIL",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
4122,INSURANCE SALES OCCUPATIONS,41-3021,Insurance Sales Agents
4123,REAL ESTATE SALES OCCUPATIONS,11-9141,"Property, Real Estate, and Community Association Managers"
4123,REAL ESTATE SALES OCCUPATIONS,13-2021,Appraisers and Assessors of Real Estate
4123,REAL ESTATE SALES OCCUPATIONS,41-9021,Real Estate Brokers
4123,REAL ESTATE SALES OCCUPATIONS,41-9022,Real Estate Sales Agents
4124,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATION,41-3031,"Securities, Commodities, and Financial Services Sales Agents"
4152,"BUSINESS SERVICE, EXCEPT ADVERTISING, SALES OCCUPA",41-3099,"Sales Representatives, Services, All Other"
4153,ADVERTISING AND RELATED SALES OCCUPATIONS,41-3011,Advertising Sales Agents
421,SALES ENGINEERS,41-9031,Sales Engineers
4232,"TECHNICAL SALES WORKERS, AIRCRAFT",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4233,"TECHNICAL SALES WORKERS, AGRICULTURAL EQUIPMENT AN",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4234,"TECHNICAL SALES WORKERS, ELECTRONIC EQUIPMENT",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4235,"TECHNICAL SALES WORKERS, INDUSTRIAL MACHINERY, EQU",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4236,"TECHNICAL SALES WORKERS, MEDICAL AND DENTAL EQUIPM",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4237,TECHNICAL SALES WORKERS; CHEMICALS AND CHEMICAL PR,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4239,"TECHNICAL SALES WORKERS, NOT ELSEWHERE CLASSIFIED",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4242,"SALES REPRESENTATIVES, COMMERCIAL AND INDUSTRIAL E",41-2031,Retail Salespersons
4242,"SALES REPRESENTATIVES, COMMERCIAL AND INDUSTRIAL E",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
4242,"SALES REPRESENTATIVES, COMMERCIAL AND INDUSTRIAL E",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4243,"SALES REPRESENTATIVES, GARMENTS AND RELATED TEXTIL",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4244,"SALES REPRESENTATIVES, MOTOR VEHICLES AND SUPPLIES",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4245,"SALES REPRESENTATIVES; PULP, PAPER, AND PAPER PROD",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4246,SALES REPRESENTATIVES; FARM PRODUCTS AND LIVESTOCK,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4249,SALES REPRESENTATIVES; NOT ELSEWHERE CLASSIFIED,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4342,"SALESPERSONS; MOTOR VEHICLES, MOBILE HOMES, AND SU",41-2031,Retail Salespersons
4343,SALESPERSONS; MUSICAL INSTRUMENTS AND SUPPLIES,41-2031,Retail Salespersons
4343,SALESPERSONS; MUSICAL INSTRUMENTS AND SUPPLIES,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4344,SALESPERSONS; BOATS AND MARINE EQUIPMENT AND SUPPL,41-2031,Retail Salespersons
4345,SALESPERSONS; SPORTING GOODS,41-2031,Retail Salespersons
4345,SALESPERSONS; SPORTING GOODS,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4346,SALESPERSONS; GARMENTS AND TEXTILE PRODUCTS,41-2031,Retail Salespersons
4347,"SALESPERSONS; BOOKS, STAMPS, COINS, AND STATIONERY",41-2031,Retail Salespersons
4348,SALESPERSONS; FURNITURE AND HOME FURNISHINGS,41-2031,Retail Salespersons
4348,SALESPERSONS; FURNITURE AND HOME FURNISHINGS,41-3099,"Sales Representatives, Services, All Other"
4348,SALESPERSONS; FURNITURE AND HOME FURNISHINGS,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4351,"SALESPERSONS, SHOES",41-2031,Retail Salespersons
4351,"SALESPERSONS, SHOES",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4352,"SALESPERSONS; RADIO, TELEVISION, HIGH FIDELITY, AN",41-2031,Retail Salespersons
4352,"SALESPERSONS; RADIO, TELEVISION, HIGH FIDELITY, AN",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4353,SALESPERSONS; HARDWARE,41-2031,Retail Salespersons
4353,SALESPERSONS; HARDWARE,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4354,"SALESPERSONS; COSMETICS, TOILETRIES, AND ALLIED PR",41-2031,Retail Salespersons
4354,"SALESPERSONS; COSMETICS, TOILETRIES, AND ALLIED PR",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4356,SALESPERSONS; JEWELRY AND RELATED PRODUCTS,41-2031,Retail Salespersons
4356,SALESPERSONS; JEWELRY AND RELATED PRODUCTS,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
4359,SALESPERSONS; NOT ELSEWHERE CLASSIFIED,41-2031,Retail Salespersons
4362,SALES CLERKS,41-2021,Counter and Rental Clerks
4362,SALES CLERKS,41-2031,Retail Salespersons
4362,SALES CLERKS,43-5081,Stock Clerks and Order Fillers
4363,COUNTER CLERKS,41-2021,Counter and Rental Clerks
4364,CASHIERS,35-9099,"Food Preparation and Serving Related Workers, All Other"
4364,CASHIERS,41-2011,Cashiers
4364,CASHIERS,41-2012,Gaming Change Persons and Booth Cashiers
4364,CASHIERS,43-3041,Gaming Cage Workers
4364,CASHIERS,43-4151,Order Clerks
4364,CASHIERS,43-9199,"Office and Administrative Support Workers, All Other"
4365,NEWS VENDORS,41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
4366,"STREET VENDORS, DOOR-TO-DOOR SALES WORKERS, AND RE",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
4366,"STREET VENDORS, DOOR-TO-DOOR SALES WORKERS, AND RE",41-9041,Telemarketers
4366,"STREET VENDORS, DOOR-TO-DOOR SALES WORKERS, AND RE",41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
4367,SALESPERSONS; PARTS,41-2022,Parts Salespersons
4369,"SALES OCCUPATIONS; SERVICES, NOT ELSEWHERE CLASSIF",11-2031,Public Relations Managers
4369,"SALES OCCUPATIONS; SERVICES, NOT ELSEWHERE CLASSIF",41-3041,Travel Agents
4369,"SALES OCCUPATIONS; SERVICES, NOT ELSEWHERE CLASSIF",41-3099,"Sales Representatives, Services, All Other"
4369,"SALES OCCUPATIONS; SERVICES, NOT ELSEWHERE CLASSIF",41-9099,"Sales and Related Workers, All Other"
444,APPRAISERS AND RELATED OCCUPATIONS,27-1019,"Artists and Related Workers, All Other"
444,APPRAISERS AND RELATED OCCUPATIONS,41-9099,"Sales and Related Workers, All Other"
445,"DEMONSTRATORS, PROMOTERS, AND MODELS",41-3099,"Sales Representatives, Services, All Other"
445,"DEMONSTRATORS, PROMOTERS, AND MODELS",41-9011,Demonstrators and Product Promoters
445,"DEMONSTRATORS, PROMOTERS, AND MODELS",41-9012,Models
446,SHOPPERS,41-9099,"Sales and Related Workers, All Other"
447,AUCTIONEERS,41-9099,"Sales and Related Workers, All Other"
449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED",29-2081,"Opticians, Dispensing"
449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED",41-3099,"Sales Representatives, Services, All Other"
449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED",41-9099,"Sales and Related Workers, All Other"
449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED",43-5021,Couriers and Messengers
449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED",43-5081,Stock Clerks and Order Fillers
4511,SUPERVISORS; GENERAL OFFICE OCCUPATIONS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4512,SUPERVISORS; COMPUTER AND PERIPHERAL EQUIPMENT OPE,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4513,"SUPERVISORS; SECRETARIES, STENOGRAPHERS AND TYPIST",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4514,SUPERVISORS; INFORMATION CLERKS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4516,SUPERVISORS; CORRESPONDENCE CLERKS AND ORDER CLERK,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4519,SUPERVISORS; RECORD CLERKS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4521,SUPERVISORS; FINANCIAL RECORD PROCESSING OCCUPATIO,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4522,"SUPERVISORS; DUPLICATING, MAIL AND OTHER OFFICE MA",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4523,CHIEF COMMUNICATIONS OPERATORS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4524,SUPERVISORS; MAIL AND MESSAGE DISTRIBUTION CLERKS,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4525,"SUPERVISORS; MATERIAL RECORDING, SCHEDULING, AND D",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4528,"SUPERVISORS; ADJUSTERS, INVESTIGATORS, AND COLLECT",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4529,SUPERVISORS; MISCELLANEOUS ADMINISTRATIVE SUPPORT,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4612,COMPUTER OPERATORS,43-9011,Computer Operators
4613,PERIPHERAL EQUIPMENT OPERATORS,43-9011,Computer Operators
4622,SECRETARIES,43-6012,Legal Secretaries
4622,SECRETARIES,43-6013,Medical Secretaries
4622,SECRETARIES,43-6014,"Secretaries, Except Legal, Medical, and Executive"
4623,STENOGRAPHERS,23-2091,Court Reporters
4623,STENOGRAPHERS,31-9094,Medical Transcriptionists
4623,STENOGRAPHERS,43-9022,Word Processors and Typists
4624,TYPISTS,43-9022,Word Processors and Typists
463,GENERAL OFFICE OCCUPATIONS,27-2023,"Umpires, Referees, and Other Sports Officials"
463,GENERAL OFFICE OCCUPATIONS,43-9061,"Office Clerks, General"
4642,INTERVIEWING CLERKS,43-4061,"Eligibility Interviewers, Government Programs"
4642,INTERVIEWING CLERKS,43-4111,"Interviewers, Except Eligibility and Loan"
4642,INTERVIEWING CLERKS,43-4131,Loan Interviewers and Clerks
4642,INTERVIEWING CLERKS,43-4141,New Accounts Clerks
4643,HOTEL CLERKS,43-4081,"Hotel, Motel, and Resort Desk Clerks"
4644,RESERVATION AGENTS AND TRANSPORTATION TICKET CLERK,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
4645,RECEPTIONISTS,43-4171,Receptionists and Information Clerks
4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED",43-2099,"Communications Equipment Operators, All Other"
4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED",43-4131,Loan Interviewers and Clerks
4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED",43-4171,Receptionists and Information Clerks
4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED",43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED",43-9199,"Office and Administrative Support Workers, All Other"
4662,CLASSIFIED-AD CLERKS,43-4151,Order Clerks
4663,CORRESPONDENCE CLERKS,43-4021,Correspondence Clerks
4664,ORDER CLERKS,43-3061,Procurement Clerks
4664,ORDER CLERKS,43-4051,Customer Service Representatives
4664,ORDER CLERKS,43-4151,Order Clerks
4664,ORDER CLERKS,43-9061,"Office Clerks, General"
4692,"PERSONNEL CLERKS, EXCEPT PAYROLL AND TIMEKEEPING",13-1071,"Employment, Recruitment, and Placement Specialists"
4692,"PERSONNEL CLERKS, EXCEPT PAYROLL AND TIMEKEEPING",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
4694,LIBRARY CLERKS,43-4121,"Library Assistants, Clerical"
4696,FILE CLERKS,43-4071,File Clerks
4699,"RECORD CLERKS, NEC",43-3021,Billing and Posting Clerks and Machine Operators
4699,"RECORD CLERKS, NEC",43-4011,Brokerage Clerks
4699,"RECORD CLERKS, NEC",43-4021,Correspondence Clerks
4699,"RECORD CLERKS, NEC",43-4051,Customer Service Representatives
4699,"RECORD CLERKS, NEC",43-5061,"Production, Planning, and Expediting Clerks"
4699,"RECORD CLERKS, NEC",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
4699,"RECORD CLERKS, NEC",43-9041,Insurance Claims and Policy Processing Clerks
4699,"RECORD CLERKS, NEC",43-9061,"Office Clerks, General"
4699,"RECORD CLERKS, NEC",43-9199,"Office and Administrative Support Workers, All Other"
4699,"RECORD CLERKS, NEC",55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS,13-2082,Tax Preparers
4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS,43-3021,Billing and Posting Clerks and Machine Operators
4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS,43-4011,Brokerage Clerks
4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS,43-9199,"Office and Administrative Support Workers, All Other"
4713,PAYROLL AND TIMEKEEPING CLERKS,43-3051,Payroll and Timekeeping Clerks
4715,BILLING CLERKS,43-3021,Billing and Posting Clerks and Machine Operators
4716,COST AND RATE CLERKS,43-3021,Billing and Posting Clerks and Machine Operators
4716,COST AND RATE CLERKS,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATOR",41-2011,Cashiers
4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATOR",43-3021,Billing and Posting Clerks and Machine Operators
4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATOR",43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATOR",43-9061,"Office Clerks, General"
4722,DUPLICATING MACHINE OPERATORS,43-9071,"Office Machine Operators, Except Computer"
4723,MAIL PREPARING AND HANDLING MACHINE OPERATORS,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
4729,"OFFICE MACHINE OPERATORS, NOT ELSEWHERE CLASSIFIED",43-9199,"Office and Administrative Support Workers, All Other"
4732,TELEPHONE OPERATORS,43-2011,"Switchboard Operators, Including Answering Service"
4732,TELEPHONE OPERATORS,43-2021,Telephone Operators
4732,TELEPHONE OPERATORS,43-2099,"Communications Equipment Operators, All Other"
4732,TELEPHONE OPERATORS,55-3015,Command and Control Center Specialists
4733,TELEGRAPHERS,43-2099,"Communications Equipment Operators, All Other"
4733,TELEGRAPHERS,43-9022,Word Processors and Typists
4739,"COMMUNICATIONS EQUIPMENT OPERATORS, NOT ELSEWHERE",43-2011,"Switchboard Operators, Including Answering Service"
4739,"COMMUNICATIONS EQUIPMENT OPERATORS, NOT ELSEWHERE",43-5031,"Police, Fire, and Ambulance Dispatchers"
4739,"COMMUNICATIONS EQUIPMENT OPERATORS, NOT ELSEWHERE",43-9199,"Office and Administrative Support Workers, All Other"
4742,"POSTAL CLERKS, EXCEPT MAIL CARRIERS",13-1199,"Business Operations Specialists, All Other"
4742,"POSTAL CLERKS, EXCEPT MAIL CARRIERS",43-5051,Postal Service Clerks
4742,"POSTAL CLERKS, EXCEPT MAIL CARRIERS",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
4743,"MAIL CARRIERS, POST OFFICE",43-5052,Postal Service Mail Carriers
4744,"MAIL CLERKS, EXCEPT POST OFFICE",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
4744,"MAIL CLERKS, EXCEPT POST OFFICE",43-9199,"Office and Administrative Support Workers, All Other"
4745,MESSENGERS,27-2042,Musicians and Singers
4745,MESSENGERS,43-5021,Couriers and Messengers
4745,MESSENGERS,43-9199,"Office and Administrative Support Workers, All Other"
4751,DISPATCHERS,43-5031,"Police, Fire, and Ambulance Dispatchers"
4751,DISPATCHERS,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
4752,PRODUCTION AND PLANNING CLERKS,43-3021,Billing and Posting Clerks and Machine Operators
4752,PRODUCTION AND PLANNING CLERKS,43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
4752,PRODUCTION AND PLANNING CLERKS,43-5061,"Production, Planning, and Expediting Clerks"
4752,PRODUCTION AND PLANNING CLERKS,53-2022,Airfield Operations Specialists
4752,PRODUCTION AND PLANNING CLERKS,53-7063,Machine Feeders and Offbearers
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",43-5011,Cargo and Freight Agents
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",43-5071,"Shipping, Receiving, and Traffic Clerks"
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",43-5081,Stock Clerks and Order Fillers
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS",43-9061,"Office Clerks, General"
4754,STOCK AND INVENTORY CLERKS,43-3061,Procurement Clerks
4754,STOCK AND INVENTORY CLERKS,43-4121,"Library Assistants, Clerical"
4754,STOCK AND INVENTORY CLERKS,43-5061,"Production, Planning, and Expediting Clerks"
4754,STOCK AND INVENTORY CLERKS,43-5071,"Shipping, Receiving, and Traffic Clerks"
4754,STOCK AND INVENTORY CLERKS,43-5081,Stock Clerks and Order Fillers
4754,STOCK AND INVENTORY CLERKS,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
4754,STOCK AND INVENTORY CLERKS,43-9061,"Office Clerks, General"
4755,METER READERS,43-5041,"Meter Readers, Utilities"
4756,"WEIGHERS, MEASURERS, AND CHECKERS",43-5071,"Shipping, Receiving, and Traffic Clerks"
4756,"WEIGHERS, MEASURERS, AND CHECKERS",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
4757,SAMPLERS,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
4757,SAMPLERS,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
4758,EXPEDITERS,43-4051,Customer Service Representatives
4758,EXPEDITERS,43-5011,Cargo and Freight Agents
4758,EXPEDITERS,43-5061,"Production, Planning, and Expediting Clerks"
4758,EXPEDITERS,53-1011,Aircraft Cargo Handling Supervisors
4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING C",43-5081,Stock Clerks and Order Fillers
4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING C",43-9061,"Office Clerks, General"
4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING C",43-9199,"Office and Administrative Support Workers, All Other"
4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING C",51-9199,"Production Workers, All Other"
4782,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS",13-1031,"Claims Adjusters, Examiners, and Investigators"
4782,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS",13-1032,"Insurance Appraisers, Auto Damage"
4782,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS",43-9041,Insurance Claims and Policy Processing Clerks
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",33-9021,Private Detectives and Investigators
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",43-4041,"Credit Authorizers, Checkers, and Clerks"
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",43-4051,Customer Service Representatives
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",43-4199,"Information and Record Clerks, All Other"
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE",43-9061,"Office Clerks, General"
4784,"CLERKS, SOCIAL WELFARE",43-4061,"Eligibility Interviewers, Government Programs"
4786,BILL AND ACCOUNT COLLECTORS,43-3011,Bill and Account Collectors
4787,LICENSE CLERKS,43-4031,"Court, Municipal, and License Clerks"
4791,BANK TELLERS,43-3071,Tellers
4792,PROOF READERS,43-9081,Proofreaders and Copy Markers
4793,DATA ENTRY KEYERS,43-9021,Data Entry Keyers
4793,DATA ENTRY KEYERS,51-5022,Prepress Technicians and Workers
4794,STATISTICAL CLERKS,29-2071,Medical Records and Health Information Technicians
4794,STATISTICAL CLERKS,43-9111,Statistical Assistants
4795,TEACHER AIDES,25-9099,"Education, Training, and Library Workers, All Other"
4795,TEACHER AIDES,43-9061,"Office Clerks, General"
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-3021,Billing and Posting Clerks and Machine Operators
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-4031,"Court, Municipal, and License Clerks"
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-4041,"Credit Authorizers, Checkers, and Clerks"
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-4131,Loan Interviewers and Clerks
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-4141,New Accounts Clerks
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-9022,Word Processors and Typists
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-9041,Insurance Claims and Policy Processing Clerks
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-9061,"Office Clerks, General"
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",43-9111,Statistical Assistants
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",51-5023,Printing Machine Operators
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",53-3031,Driver/Sales Workers
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLER",55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
502,DAY WORKERS,37-2012,Maids and Housekeeping Cleaners
503,LAUNDERERS AND IRONERS,37-2012,Maids and Housekeeping Cleaners
504,"COOKS, PRIVATE HOUSEHOLD",35-2013,"Cooks, Private Household"
505,HOUSEKEEPERS AND BUTLERS,37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers
505,HOUSEKEEPERS AND BUTLERS,37-2012,Maids and Housekeeping Cleaners
506,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD",39-9011,Child Care Workers
507,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS,37-2012,Maids and Housekeeping Cleaners
509,"PRIVATE HOUSEHOLD OCCUPATIONS, NOT ELSEWHERE CLASS",39-9021,Personal and Home Care Aides
509,"PRIVATE HOUSEHOLD OCCUPATIONS, NOT ELSEWHERE CLASS",39-9099,"Personal Care and Service Workers, All Other"
5111,SUPERVISORS; FIREFIGHTING AND FIRE PREVENTION OCCU,33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers
5112,SUPERVISORS; POLICE AND DETECTIVES,33-1011,First-Line Supervisors/Managers of Correctional Officers
5112,SUPERVISORS; POLICE AND DETECTIVES,33-1012,First-Line Supervisors/Managers of Police and Detectives
5112,SUPERVISORS; POLICE AND DETECTIVES,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers
