isco1988,isco1988_title,isco2008,isco2008_title
2211,"Biologists, Botanists, Zoologists and Related Professionals",2133,Environmental Protection Professionals
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",2141,Industrial and Production Engineers
2142,Civil Engineers,2142,Civil Engineers
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",2143,Environmental Engineers
2145,Mechanical Engineers,2144,Mechanical Engineers
2146,Chemical Engineers,2145,Chemical Engineers 
2147,"Mining Engineers, Metallurgists and Related Professionals",2146,"Mining Engineers, Metallurgists and Related Professionals"
2149,"Architects, Engineers and Related Professionals Not Elsewhere Classified",2149,Engineering Professionals Not Elsewhere Classified
2143,Electrical Engineers,2151,Electrical Engineers
2144,Electronics and Telecommunications Engineers,2152,Electronics Engineers
2144,Electronics and Telecommunications Engineers,2153,Telecommunications Engineers
2141,"Architects, Town and Traffic Planners",2161,Building Architects
2141,"Architects, Town and Traffic Planners",2162,Landscape Architects
3471,Decorators and Commercial Designers,2163,Product and Garment Designers
2141,"Architects, Town and Traffic Planners",2164,Town and Traffic Planners
2148,Cartographers and Surveyors,2165,Cartographers and Surveyors
3471,Decorators and Commercial Designers,2166,Graphic and Multimedia Designers
2452,"Sculptors, Painters and Related Artists",2166,Graphic and Multimedia Designers
2221,Medical Doctors,2211,Generalist Medical Practitioners
2212,"Pharmacologists, Pathologists and Related Professionals",2212,Specialist Medical Practitioners
2221,Medical Doctors,2212,Specialist Medical Practitioners
2230,Nursing and Midwifery Professionals,2221,Nursing Professionals
2230,Nursing and Midwifery Professionals,2222,Midwifery Professionals
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,2230,Traditional and Complementary Medicine Professionals
3241,Traditional Medicine Practitioners,2230,Traditional and Complementary Medicine Professionals
3221,Medical Assistants,2240,Paramedical Practitioners
2212,"Pharmacologists, Pathologists and Related Professionals",2250,Veterinarians
2223,Veterinarians,2250,Veterinarians
2222,Dentists,2261,Dentists
2113,Chemists,2262,Pharmacists
2224,Pharmacists,2262,Pharmacists
2229,Health Professionals (except Nursing) Not Elsewhere Classified,2263,Environmental and Occupational Health and Hygiene Professionals
2412,Personnel and Careers Professionals,2263,Environmental and Occupational Health and Hygiene Professionals
3152,"Safety, Health and Quality Inspectors",2263,Environmental and Occupational Health and Hygiene Professionals
3222,Sanitarians,2263,Environmental and Occupational Health and Hygiene Professionals
3226,Physiotherapists and Related Associate Professionals,2264,Physiotherapists
3223,Dieticians and Nutritionists,2265,Dieticians and Nutritionists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,2266,Audiologists and Speech Therapists
3224,Optometrists and Opticians,2267,Optometrists and Ophthalmic Opticians
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,2267,Optometrists and Ophthalmic Opticians
2229,Health Professionals (except Nursing) Not Elsewhere Classified,2269,Health Professionals Not Elsewhere Classified
3226,Physiotherapists and Related Associate Professionals,2269,Health Professionals Not Elsewhere Classified
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,2269,Health Professionals Not Elsewhere Classified
2310,"College, University and Higher Education Teaching Professionals",2310,University and Higher Education Teachers
2310,"College, University and Higher Education Teaching Professionals",2320,Vocational Education Teachers
2320,Secondary Education Teaching Professionals,2320,Vocational Education Teachers
2320,Secondary Education Teaching Professionals,2330,Secondary Education Teachers
2331,Primary Education Teaching Professionals,2341,Primary School Teachers
3310,Primary Education Teaching Associate Professionals,2341,Primary School Teachers
2332,Pre-primary Education Teaching Professionals,2342,Early Childhood Educators
3320,Pre-primary Education Teaching Associate Professionals,2342,Early Childhood Educators
2351,Education Methods Specialists,2351,Education Methods Specialists
2352,School Inspectors,2351,Education Methods Specialists
2340,Special Education Teaching Professionals,2352,Special Needs Teachers
3330,Special Education Teaching Associate Professionals,2352,Special Needs Teachers
2359,Other Teaching Professionals Not Elsewhere Classified,2353,Other Language Teachers
3340,Other Teaching Associate Professionals,2353,Other Language Teachers
2359,Other Teaching Professionals Not Elsewhere Classified,2354,Other Music Teachers
2359,Other Teaching Professionals Not Elsewhere Classified,2355,Other Arts Teachers
3340,Other Teaching Associate Professionals,2355,Other Arts Teachers
2359,Other Teaching Professionals Not Elsewhere Classified,2356,Information Technology Trainers
3340,Other Teaching Associate Professionals,2356,Information Technology Trainers
2359,Other Teaching Professionals Not Elsewhere Classified,2359,Teaching Professionals Not Elsewhere Classified
3340,Other Teaching Associate Professionals,2359,Teaching Professionals Not Elsewhere Classified
2411,Accountants,2411,Accountants
2411,Accountants,2412,Financial and Investment Advisers
2419,Business Professionals Not Elsewhere Classified,2412,Financial and Investment Advisers
3411,Securities and Finance Dealers and Brokers,2412,Financial and Investment Advisers
2419,Business Professionals Not Elsewhere Classified,2413,Financial Analysts
2419,Business Professionals Not Elsewhere Classified,2421,Management and Organization Analysts
2419,Business Professionals Not Elsewhere Classified,2422,Policy Administration Professionals
2412,Personnel and Careers Professionals,2423,Personnel and Careers Professionals
2412,Personnel and Careers Professionals,2424,Training and Staff Development Professionals
2419,Business Professionals Not Elsewhere Classified,2431,Advertising and Marketing Professionals
2451,"Authors, Journalists and Other Writers",2431,Advertising and Marketing Professionals
2419,Business Professionals Not Elsewhere Classified,2432,Public Relations Professionals
2451,"Authors, Journalists and Other Writers",2432,Public Relations Professionals
3415,Technical and Commercial Sales Representatives,2433,Technical and Medical Sales Professionals (excluding ICT)
3415,Technical and Commercial Sales Representatives,2434,Information and Communications Technology Sales Professionals
2131,Computer Systems Designers and Analysts,2511,Systems Analysts
2131,Computer Systems Designers and Analysts,2512,Software Developers
2131,Computer Systems Designers and Analysts,2513,Web and Multimedia Developers
2132,Computer Programmers,2513,Web and Multimedia Developers
2139,Computing Professionals Not Elsewhere Classified,2513,Web and Multimedia Developers
2132,Computer Programmers,2514,Applications Programmers
2131,Computer Systems Designers and Analysts,2519,Software and Applications Developers and Analysts Not Elsewhere Classified
2132,Computer Programmers,2519,Software and Applications Developers and Analysts Not Elsewhere Classified
2139,Computing Professionals Not Elsewhere Classified,2519,Software and Applications Developers and Analysts Not Elsewhere Classified
2131,Computer Systems Designers and Analysts,2521,Database Designers and Administrators
2131,Computer Systems Designers and Analysts,2522,Systems Administrators
2131,Computer Systems Designers and Analysts,2523,Computer Network Professionals
2132,Computer Programmers,2523,Computer Network Professionals
2139,Computing Professionals Not Elsewhere Classified,2529,Database and Network Professionals Not Elsewhere Classified
2421,Lawyers,2611,Lawyers
2422,Judges,2612,Judges
2429,Legal Professionals Not Elsewhere Classified,2619,Legal professionals Not Elsewhere Classified
2431,Archivists and Curators,2621,Archivists and Curators
2432,Librarians and Related Information Professionals,2622,Librarians and Related Information Professionals
2441,Economists,2631,Economists
2442,"Sociologists, Anthropologists and Related Professionals",2632,"Sociologists, Anthropologists and Related Professionals"
2443,"Philosophers, Historians and Political Scientists",2633,"Philosophers, Historians and Political Scientists"
2445,Psychologists,2634,Psychologists
2446,Social Work Professionals,2635,Social Work and Counselling Professionals
2460,Religious Professionals,2636,Religious Professionals
2451,"Authors, Journalists and Other Writers",2641,Authors and Related Writers
2451,"Authors, Journalists and Other Writers",2642,Journalists
3472,"Radio, Television and Other Announcers",2642,Journalists
2444,"Philologists, Translators and Interpreters",2643,"Translators, Interpreters and Other Linguists"
2452,"Sculptors, Painters and Related Artists",2651,Visual Artists
2453,"Composers, Musicians and Singers",2652,"Musicians, Singers and Composers"
3473,"Street, Night-club and Related Musicians, Singers and Dancers",2652,"Musicians, Singers and Composers"
2454,Choreographers and Dancers,2653,Dancers and Choreographers
3473,"Street, Night-club and Related Musicians, Singers and Dancers",2653,Dancers and Choreographers
1229,Production and Operations Department Managers Not Elsewhere Classified,2654,"Film, Stage and Related Directors and Producers"
2455,"Film, Stage and Related Actors and Directors",2654,"Film, Stage and Related Directors and Producers"
2455,"Film, Stage and Related Actors and Directors",2655,Actors
3472,"Radio, Television and Other Announcers",2656,"Announcers on Radio, Television and Other Media"
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",2659,Creative and Performing Artists Not Elsewhere Classified
3111,Chemical and Physical Science Technicians,3111,Chemical and Physical Science Technicians
3112,Civil Engineering Technicians,3112,Civil Engineering Technicians
3151,Building and Fire Inspectors,3112,Civil Engineering Technicians
3113,Electrical Engineering Technicians,3113,Electrical Engineering Technicians
3152,"Safety, Health and Quality Inspectors",3113,Electrical Engineering Technicians
3114,Electronics and Telecommunications Engineering Technicians,3114,Electronics Engineering Technicians
3152,"Safety, Health and Quality Inspectors",3114,Electronics Engineering Technicians
3115,Mechanical Engineering Technicians,3115,Mechanical Engineering Technicians
3152,"Safety, Health and Quality Inspectors",3115,Mechanical Engineering Technicians
3116,Chemical Engineering Technicians,3116,Chemical Engineering Technicians
3117,Mining and Metallurgical Technicians,3117,Mining and Metallurgical Technicians
3152,"Safety, Health and Quality Inspectors",3117,Mining and Metallurgical Technicians
3118,Draughtspersons,3118,Draughtspersons
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,3119,Physical and Engineering Science Technicians Not Elsewhere Classified
3151,Building and Fire Inspectors,3119,Physical and Engineering Science Technicians Not Elsewhere Classified
7111,Miners and Quarry Workers,3121,Mining Supervisors
8111,Mining-plant Operators,3121,Mining Supervisors
8171,Automated-assembly-line Operators,3122,Manufacturing Supervisors
8172,Industrial-robot Operators,3122,Manufacturing Supervisors
8211,Machine-tool Operators,3122,Manufacturing Supervisors
8221,Pharmaceutical- and Toiletry-products Machine Operators,3122,Manufacturing Supervisors
8222,Ammunition- and Explosive-products Machine Operators,3122,Manufacturing Supervisors
8223,"Metal Finishing-, Plating- and Coating-machine Operators",3122,Manufacturing Supervisors
8224,Photographic-products Machine Operators,3122,Manufacturing Supervisors
8229,Chemical-products Machine Operators Not Elsewhere Classified,3122,Manufacturing Supervisors
8231,Rubber-products Machine Operators,3122,Manufacturing Supervisors
8232,Plastic-products Machine Operators,3122,Manufacturing Supervisors
8240,Wood-products Machine Operators,3122,Manufacturing Supervisors
8251,Printing-machine Operators,3122,Manufacturing Supervisors
8252,Bookbinding-machine Operators,3122,Manufacturing Supervisors
8253,Paper-products Machine Operators,3122,Manufacturing Supervisors
8261,"Fibre-preparing-, Spinning- and Winding-machine Operators",3122,Manufacturing Supervisors
8262,Weaving- and Knitting-machine Operators,3122,Manufacturing Supervisors
8263,Sewing-machine Operators,3122,Manufacturing Supervisors
8264,"Bleaching-, Dyeing- and Cleaning-machine Operators",3122,Manufacturing Supervisors
8265,Fur- and Leather-preparing-machine Operators,3122,Manufacturing Supervisors
8266,Shoemaking- and Related Machine Operators,3122,Manufacturing Supervisors
8269,"Textile-, Fur- and Leather-products Machine Operators Not Elsewhere Classified",3122,Manufacturing Supervisors
8271,Meat- and Fish-processing-machine Operators,3122,Manufacturing Supervisors
8272,Dairy-products Machine Operators,3122,Manufacturing Supervisors
8273,Grain- and Spice-milling-machine Operators,3122,Manufacturing Supervisors
8274,"Baked-goods, Cereal and Chocolate-products Machine Operators",3122,Manufacturing Supervisors
8275,"Fruit-, Vegetable- and Nut-processing-machine Operators",3122,Manufacturing Supervisors
8276,Sugar Production Machine Operators,3122,Manufacturing Supervisors
8277,"Tea-, Coffee-, and Cocoa-processing-machine Operators",3122,Manufacturing Supervisors
8278,"Brewers-, Wine and Other Beverage Machine Operators",3122,Manufacturing Supervisors
8279,Tobacco Production Machine Operators,3122,Manufacturing Supervisors
8281,Mechanical-machinery Assemblers,3122,Manufacturing Supervisors
8282,Electrical-equipment Assemblers,3122,Manufacturing Supervisors
8283,Electronic-equipment Assemblers,3122,Manufacturing Supervisors
8284,"Metal-, Rubber- and Plastic-products Assemblers",3122,Manufacturing Supervisors
8285,Wood and Related Products Assemblers,3122,Manufacturing Supervisors
8286,"Paperboard, Textile and Related Products Assemblers",3122,Manufacturing Supervisors
8290,Other Machine Operators and Assemblers,3122,Manufacturing Supervisors
1223,Production and Operations Department Managers in Construction,3123,Construction Supervisors
7129,Building Frame and Related Trades Workers Not Elsewhere Classified,3123,Construction Supervisors
8161,Power-production Plant Operators,3131,Power Production Plant Operators
8163,"Incinerator, Water-treatment and Related Plant Operators",3132,Incinerator and Water Treatment Plant Operators
3116,Chemical Engineering Technicians,3133,Chemical Processing Plant Controllers
8152,Chemical-heat-treating-plant Operators,3133,Chemical Processing Plant Controllers
8153,Chemical-filtering- and Separating-equipment Operators,3133,Chemical Processing Plant Controllers
8154,Chemical-still and Reactor Operators (except Petroleum and Natural Gas),3133,Chemical Processing Plant Controllers
8159,Chemical-processing-plant Operators Not Elsewhere Classified,3133,Chemical Processing Plant Controllers
8155,Petroleum- and Natural-gas-refining-plant Operators,3134,Petroleum and Natural Gas Refining Plant Operators
8121,Ore and Metal Furnace Operators,3135,Metal Production Process Controllers
8122,"Metal Melters, Casters and Rolling-mill Operators",3135,Metal Production Process Controllers
8123,Metal-heat-treating-plant Operators,3135,Metal Production Process Controllers
8124,Metal Drawers and Extruders,3135,Metal Production Process Controllers
3123,Industrial Robot Controllers,3139,Process Control Technicians Not Elsewhere Classified
8142,Paper-pulp Plant Operators,3139,Process Control Technicians Not Elsewhere Classified
8143,Papermaking-plant Operators,3139,Process Control Technicians Not Elsewhere Classified
8171,Automated-assembly-line Operators,3139,Process Control Technicians Not Elsewhere Classified
8172,Industrial-robot Operators,3139,Process Control Technicians Not Elsewhere Classified
3211,Life Science Technicians,3141,Life Science Technicians (excluding Medical)
3212,Agronomy and Forestry Technicians,3142,Agricultural Technicians
3212,Agronomy and Forestry Technicians,3143,Forestry Technicians
3141,Ships’ Engineers,3151,Ships’ Engineers
3142,Ships’ Deck Officers and Pilots,3152,Ships’ Deck Officers and Pilots
3143,Aircraft Pilots and Related Associate Professionals,3153,Aircraft Pilots and Related Associate Professionals
3340,Other Teaching Associate Professionals,3153,Aircraft Pilots and Related Associate Professionals
3144,Air Traffic Controllers,3154,Air Traffic Controllers
3145,Air Traffic Safety Technicians,3155,Air Traffic Safety Electronics Technicians
3133,Medical Equipment Operators,3211,Medical Imaging and Therapeutic Equipment Technicians
3211,Life Science Technicians,3212,Medical and Pathology Laboratory Technicians
3228,Pharmaceutical Assistants,3213,Pharmaceutical Technicians and Assistants
3226,Physiotherapists and Related Associate Professionals,3214,Medical and Dental Prosthetic Technicians
7311,Precision-instrument Makers and Repairers,3214,Medical and Dental Prosthetic Technicians
2230,Nursing and Midwifery Professionals,3221,Nursing Associate Professionals
3231,Nursing Associate professionals,3221,Nursing Associate Professionals
2230,Nursing and Midwifery Professionals,3222,Midwifery Associate Professionals
3232,Midwifery Associate Professionals,3222,Midwifery Associate Professionals
3241,Traditional Medicine Practitioners,3230,Traditional and Complementary Medicine Associate Professionals
3227,Veterinary Assistants,3240,Veterinary Technicians and Assistants
3225,Dental Assistants,3251,Dental Assistants and Therapists
4143,"Coding, Proof-reading and Related Clerks",3252,Medical Records and Health Information Technicians
3221,Medical Assistants,3253,Community Health Workers
3224,Optometrists and Opticians,3254,Dispensing Opticians
3226,Physiotherapists and Related Associate Professionals,3255,Physiotherapy Technicians and Assistants
3221,Medical Assistants,3256,Medical Assistants
3152,"Safety, Health and Quality Inspectors",3257,Environmental and Occupational Health Inspectors and Associates
3222,Sanitarians,3257,Environmental and Occupational Health Inspectors and Associates
5132,Institution-based Personal Care Workers,3258,Ambulance Workers
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,3259,Health Associate Professionals Not Elsewhere Classified
3411,Securities and Finance Dealers and Brokers,3311,Securities and Finance Dealers and Brokers
3419,Finance and Sales Associate Professionals Not Elsewhere Classified,3312,Credit and Loans officers
3433,Bookkeepers,3313,Accounting Associate Professionals
3434,"Statistical, Mathematical and Related Associate Professionals",3313,Accounting Associate Professionals
3434,"Statistical, Mathematical and Related Associate Professionals",3314,"Statistical, Mathematical and Related Associate Professionals"
3417,"Appraisers, Valuers and Auctioneers",3315,Valuers and Loss Assessors
3412,Insurance Representatives,3321,Insurance Representatives
3415,Technical and Commercial Sales Representatives,3322,Commercial Sales Representatives
3416,Buyers,3323,Buyers
3421,Trade Brokers,3324,Trade Brokers
3422,Clearing and Forwarding Agents,3331,Clearing and Forwarding Agents
3439,Administrative Associate Professionals Not Elsewhere Classified,3332,Conference and Event Planners
3423,Employment Agents and Labour Contractors,3333,Employment Agents and Contractors
3413,Estate Agents,3334,Real Estate Agents and Property Managers
2419,Business Professionals Not Elsewhere Classified,3339,Business Services Agents Not Elsewhere Classified
3414,Travel Consultants and Organisers,3339,Business Services Agents Not Elsewhere Classified
3417,"Appraisers, Valuers and Auctioneers",3339,Business Services Agents Not Elsewhere Classified
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,3339,Business Services Agents Not Elsewhere Classified
3431,Administrative Secretaries and Related Associate Professionals,3341,Office Supervisors
3439,Administrative Associate Professionals Not Elsewhere Classified,3341,Office Supervisors
4111,Stenographers and Typists,3341,Office Supervisors
4112,Word-processor and Related Operators,3341,Office Supervisors
4113,Data Entry Operators,3341,Office Supervisors
4114,Calculating-machine Operators,3341,Office Supervisors
4115,Secretaries,3341,Office Supervisors
4121,Accounting and Bookkeeping Clerks,3341,Office Supervisors
4122,Statistical and Finance Clerks,3341,Office Supervisors
4131,Stock Clerks,3341,Office Supervisors
4132,Production Clerks,3341,Office Supervisors
4133,Transport Clerks,3341,Office Supervisors
4141,Library and Filing Clerks,3341,Office Supervisors
4142,Mail Carriers and Sorting Clerks,3341,Office Supervisors
4143,"Coding, Proof-reading and Related Clerks",3341,Office Supervisors
4190,Other Office Clerks,3341,Office Supervisors
4222,Receptionists and Information Clerks,3341,Office Supervisors
4223,Telephone Switchboard Operators,3341,Office Supervisors
3431,Administrative Secretaries and Related Associate Professionals,3342,Legal Secretaries
4115,Secretaries,3342,Legal Secretaries
3431,Administrative Secretaries and Related Associate Professionals,3343,Administrative and Executive Secretaries
3439,Administrative Associate Professionals Not Elsewhere Classified,3343,Administrative and Executive Secretaries
3431,Administrative Secretaries and Related Associate Professionals,3344,Medical Secretaries
4115,Secretaries,3344,Medical Secretaries
3441,Customs and Border Inspectors,3351,Customs and Border Inspectors
3442,Government Tax and Excise Officials,3352,Government Tax and Excise officials
3443,Government Social Benefits Officials,3353,Government Social Benefits Officials
3444,Government Licensing Officials,3354,Government Licensing Officials
3450,Police Inspectors and Detectives,3355,Police Inspectors and Detectives
3439,Administrative Associate Professionals Not Elsewhere Classified,3359,Government Regulatory Associate Professionals Not Elsewhere Classified
3449,"Customs, Tax and Related Government Associate Professionals Not Elsewhere Classified",3359,Government Regulatory Associate Professionals Not Elsewhere Classified
3432,Legal and Related Business Associate Professionals,3411,Legal and Related Associate Professionals
3450,Police Inspectors and Detectives,3411,Legal and Related Associate Professionals
3460,Social Work Associate Professionals,3412,Social Work Associate Professionals
3242,Faith Healers,3413,Religious Associate Professionals
3480,Religious Associate Professionals,3413,Religious Associate Professionals
3475,"Athletes, Sportspersons and Related Associate Professionals",3421,Athletes and Sports Players
3475,"Athletes, Sportspersons and Related Associate Professionals",3422,"Sports Coaches, Instructors and Officials"
3340,Other Teaching Associate Professionals,3423,Fitness and Recreation Instructors and Programme Leaders
3475,"Athletes, Sportspersons and Related Associate Professionals",3423,Fitness and Recreation Instructors and Programme Leaders
3131,Photographers and Image and Sound Recording Equipment Operators,3431,Photographers
3471,Decorators and Commercial Designers,3432,Interior Designers and Decorators
3439,Administrative Associate Professionals Not Elsewhere Classified,3433,"Gallery, Museum and Library Technicians"
3471,Decorators and Commercial Designers,3433,"Gallery, Museum and Library Technicians"
5122,Cooks,3434,Chefs
1229,Production and Operations Department Managers Not Elsewhere Classified,3435,Other Artistic and Cultural Associate Professionals
3471,Decorators and Commercial Designers,3435,Other Artistic and Cultural Associate Professionals
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",3435,Other Artistic and Cultural Associate Professionals
3122,Computer Equipment Operators,3511,Information and Communications Technology Operations Technicians
3121,Computer Assistants,3512,Information and Communications Technology User Support Technicians
3121,Computer Assistants,3513,Computer Network and Systems Technicians
3121,Computer Assistants,3514,Web Technicians
3131,Photographers and Image and Sound Recording Equipment Operators,3521,Broadcasting and Audiovisual Technicians
3132,Broadcasting and Telecommunications Equipment Operators,3521,Broadcasting and Audiovisual Technicians
3114,Electronics and Telecommunications Engineering Technicians,3522,Telecommunications Engineering Technicians
3132,Broadcasting and Telecommunications Equipment Operators,3522,Telecommunications Engineering Technicians
4190,Other Office Clerks,4110,General Office Clerks
4115,Secretaries,4120,Secretaries (general)
4111,Stenographers and Typists,4131,Typists and Word Processing Operators
4112,Word-processor and Related Operators,4131,Typists and Word Processing Operators
4113,Data Entry Operators,4132,Data Entry Clerks
4114,Calculating-machine Operators,4132,Data Entry Clerks
4211,Cashiers and Ticket Clerks,4211,Bank Tellers and Related Clerks
4212,Tellers and Other Counter Clerks,4211,Bank Tellers and Related Clerks
4211,Cashiers and Ticket Clerks,4212,"Bookmakers, Croupiers and Related Gaming Workers"
4213,Bookmakers and Croupiers,4212,"Bookmakers, Croupiers and Related Gaming Workers"
4214,Pawnbrokers and Money-lenders,4213,Pawnbrokers and Money-lenders
4215,Debt-collectors and Related Workers,4214,Debt Collectors and Related Workers
3414,Travel Consultants and Organisers,4221,Travel Consultants and Clerks
4221,Travel Agency and Related Clerks,4221,Travel Consultants and Clerks
5111,Travel Attendants and Travel Stewards,4221,Travel Consultants and Clerks
4222,Receptionists and Information Clerks,4222,Contact Centre Information Clerks
4223,Telephone Switchboard Operators,4223,Telephone Switchboard Operators
4222,Receptionists and Information Clerks,4224,Hotel Receptionists
4222,Receptionists and Information Clerks,4225,Inquiry Clerks
4222,Receptionists and Information Clerks,4226,Receptionists (general)
4190,Other Office Clerks,4227,Survey and Market Research Interviewers
4222,Receptionists and Information Clerks,4229,Client Information Workers Not Elsewhere Classified
4121,Accounting and Bookkeeping Clerks,4311,Accounting and Bookkeeping Clerks
4122,Statistical and Finance Clerks,4312,"Statistical, Finance and Insurance Clerks"
4121,Accounting and Bookkeeping Clerks,4313,Payroll Clerks
4131,Stock Clerks,4321,Stock Clerks
4132,Production Clerks,4322,Production Clerks
4133,Transport Clerks,4323,Transport Clerks
4141,Library and Filing Clerks,4411,Library Clerks
4142,Mail Carriers and Sorting clerks,4412,Mail Carriers and Sorting Clerks
